<<<<<<< HEAD
﻿Site Name,Services Delivered at Site,Health Center Type,Health Center Location Type,Health Center Location Setting,County,State
Venado Valley Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Maricopa County,AZ
CommUnityCare Austin Resource Center for the Homeless,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Travis County,TX
CFHC School Based Crystal Lake Elementary,Yes,Service Delivery Site,Permanent,School,Polk County,FL
Creswell Primary Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Washington County,NC
Estero Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lee County,FL
CVHS Hopewell-Prince George,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Prince George County,VA
The Women's Health Center of Springfield,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Windsor County,VT
El Cajon Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA
Centro de Salud Integral en Naranjito,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Naranjito Municipio,PR
KIPP Nexus,Yes,Service Delivery Site,Seasonal,School,Harris County,TX
Chicago Family Health Center - Roseland,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL
ALCONA HLTH CTRS - OSCODA SVCS,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Iosco County,MI
StayWell Health Center at Western CT Mental Health Network,Yes,Service Delivery Site,Permanent,All Other Clinic Types,New Haven County,CT
48th Street Physicians,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Newport News City,VA
Edison Pacific Health Center,Yes,Service Delivery Site,Permanent,School,Los Angeles County,CA
Glasgow Pediatric Healthcare Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Barren County,KY
CARITAS,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Richmond City,VA
MCR Health Hudson High School,Yes,Service Delivery Site,Permanent,School,Pasco County,FL
Tri-State Community Healthcare Center- Mohave Valley,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Mohave County,AZ
GVHC - Ceres,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Stanislaus County,CA
AMA Sarasota,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Manatee County,FL
Kintegra at South Newton Elementary,Yes,Service Delivery Site,Permanent,School,Catawba County,NC
Start Community Health Center - New Orleans,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orleans Parish,LA
Valley Health Center Bascom,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Clara County,CA
"Northeast Alabama Health Services, Inc. - Section",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jackson County,AL
CHAS Administrative Offices,No,Administrative,Permanent,All Other Clinic Types,Spokane County,WA
Cares Community Health dba One Community Health Wind Youth Campus,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sacramento County,CA
Windrose Health Network - Franklin,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Johnson County,IN
Anthony Mental Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Dona Ana County,NM
Howard Brown Health 55th Street,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL
"STAYWELL HEALTH CARE, INC.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,New Haven County,CT
Talbot County Medical/Dental Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Talbot County,GA
The Wellness Center @ Duvalle Education Center,Yes,Service Delivery Site,Seasonal,School,Jefferson County,KY
Hialeah Skills II,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Miami-Dade County,FL
Neighborhood Family Practice Mobile Van 1,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Cuyahoga County,OH
Family HealthCare Network - ACC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fresno County,CA
East Texas Border Health Clinic dba Genesis PrimeCare-Adm.,No,Administrative,Permanent,All Other Clinic Types,Harrison County,TX
North Baldwin Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Baldwin County,AL
Health Care for the Homeless - 421 Fallsway,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Baltimore City,MD
Jericho Road CHC (Vive),Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Erie County,NY
Wound Care Program- WHP CHURCH,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Alameda County,CA
Mobile Clinic,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Fort Bend County,TX
Riverside High School,Yes,Service Delivery Site,Seasonal,School,Brown County,KS
"BAYBERRY COMMONS, INC.",Yes,Service Delivery Site,Permanent,Nursing Home,Providence County,RI
Mott Haven Campus,Yes,Service Delivery Site,Permanent,School,Bronx County,NY
Mattanawcook Academy School Based Health Center,Yes,Service Delivery Site,Permanent,School,Penobscot County,ME
Lynn Community Health Center - Primary Care and Behavioral Health Services,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Essex County,MA
GVHC Mobile Unit - Hanshaw,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Stanislaus County,CA
Holy Family Shelter Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Marion County,IN
FAMILY HEALTH CENTER/MARSHFIELD CLINIC-LAKEWOODS CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Barron County,WI
PITTSBURG HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Contra Costa County,CA
Ice Lake Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Iron County,MI
Northeast Community Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
CALIFORNIA FAMILY PRACTICE,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Washington County,PA
DAHL MEMORIAL CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Skagway Municipality,AK
ACCESS Family Health Services - Smithville,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Monroe County,MS
Bardstown High Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,Nelson County,KY
"QUALITY COMMUNITY HEALTH CARE, INC.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Philadelphia County,PA
Hennepin County Public Health Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hennepin County,MN
Country Doctor Dental Clinic,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,King County,WA
CENTRAL MISSISSIPPI HLTH SERVICE,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hinds County,MS
Burney Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Shasta County,CA
AMSTERDAM FAMILY HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,New York County,NY
RAY M. DICKINSON WELLNESS CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA
Aunt Martha's Call Center,No,Administrative,Permanent,Unknown,Cook County,IL
COMMUNITY HEALTH SERVICES,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wayne County,NC
South Bronx Campus,Yes,Service Delivery Site,Permanent,School,Bronx County,NY
Greenville Rancheria Administration,No,Administrative,Permanent,All Other Clinic Types,Tehama County,CA
WYA AT CRYSALIS,Yes,Service Delivery Site,Permanent,Domestic Violence,New Haven County,CT
Unicare Community Health Center - Moreno Valley,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Riverside County,CA
"Community Medical Centers, Manteca",Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Joaquin County,CA
Hopkins Family Practice,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Richland County,SC
Citrus Maternal and Child Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Miami-Dade County,FL
PMS - Farmington Community Health Center Substance Abuse Services,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Juan County,NM
THIRD AVE CENTER AT OPPORTUNITY PLACE,Yes,Service Delivery Site,Permanent,All Other Clinic Types,King County,WA
Three Rivers Community Health-Dental,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hickman County,TN
Ben Archer Health Center Mayfield School Base,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Dona Ana County,NM
NHC Beaverton Medical Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Washington County,OR
Lilac School,Yes,Service Delivery Site,Permanent,School,San Diego County,CA
Mt. Olive Attendance Center,Yes,Service Delivery Site,Seasonal,School,Covington County,MS
Valley Family Health Care Mobile Unit (MAC),Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Payette County,ID
VCC: The Gary Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orange County,CA
Bay Street Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Richmond County,NY
PARK WEST MEN & FAMILY HLTH CTR,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Baltimore City,MD
Salud at 208 Green Valley,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Cruz County,CA
"UNIVERSITY OF ILLINOIS MEDICAL CENTER, MILE SQUARE HEALTH CENTER, Davis Health and Wellness Center",Yes,Service Delivery Site,Permanent,School,Cook County,IL
George Washington Carver School,Yes,Service Delivery Site,Permanent,School,Essex County,NJ
Mary C. Demientieff Health Clinic (Nenana),Yes,Service Delivery Site,Permanent,All Other Clinic Types,Yukon-Koyukuk Census Area,AK
NorthLakes - Iron River,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bayfield County,WI
Su Clinica - Santa Rosa Medical,Yes,Service Delivery Site,Permanent,School,Cameron County,TX
GREATER LAWRENCE TECH SCHOOL,Yes,Service Delivery Site,Permanent,School,Essex County,MA
WORCESTER CNTY HOUSE CORRECTION,Yes,Service Delivery Site,Permanent,Correctional Facility,Worcester County,MA
Palms Medical Group - Gainesville,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Alachua County,FL
Community Health Alliance North Valleys Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Washoe County,NV
Palm Center Outpatient,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Miami-Dade County,FL
CAROLINE STREET CLINIC,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Harris County,TX
WHSI Network Support Services Center,No,Administrative,Permanent,All Other Clinic Types,Tuscaloosa County,AL
CISS Movile Clinic,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Lares Municipio,PR
Omni Family Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kern County,CA
JACKSON HINDS COMP HEALTH CENTER UTICA-WIC Warehouse,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Hinds County,MS
Eisner Health at Lynwood,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
DCHC School Based Mobile Clinic,Yes,Service Delivery Site,Mobile Van,School,Kootenai County,ID
"WAKULLA MEDICAL CENTER, INC.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wakulla County,FL
GVHC - MERCED ADMINISTRATIVE OFFICES,No,Administrative,Permanent,Unknown,Merced County,CA
RURAL HEALTH CORPORATION OF NE PENNSYLVANIA,No,Administrative,Permanent,Unknown,Luzerne County,PA
Tyler Care Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Smith County,TX
Bridge Over Troubled Waters,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Suffolk County,MA
HHC Honokaa Administration Site NHERC,No,Administrative,Permanent,Unknown,Hawaii County,HI
CCI-Greenbelt,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Prince George's County,MD
CVCH Behavioral Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Douglas County,WA
Primary Care & Hope Clinic of Smyrna,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Rutherford County,TN
KIPP Legacy Preparatory School,Yes,Service Delivery Site,Seasonal,School,Harris County,TX
GVHC-Florida North,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Stanislaus County,CA
VNA Health Center - Elgin Villa,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL
Appalachian District Health Department Dental Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Ashe County,NC
Monroe Academy,Yes,Service Delivery Site,Permanent,School,Bronx County,NY
Rosa Clark Medical Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Oconee County,SC
SOUTH CENTRAL FAMILY HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
AMA Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Manatee County,FL
ACCESS Family Care - Lamar,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Barton County,MO
"Chiricahua Community Health Centers, Inc. Sierra Vista Pediatrics",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cochise County,AZ
Harriman Health Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Deschutes County,OR
MN Community Care - Gordon Parks SBC,Yes,Service Delivery Site,Permanent,School,Ramsey County,MN
Uniontown Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Perry County,AL
UNITED HEALTH CENTERS PARLIER SCHOOL BASED HEALTH CENTER,Yes,Service Delivery Site,Permanent,School,Fresno County,CA
Desert Hot Springs Community Medical Center - Main Campus,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Riverside County,CA
PS 188 School Based Health Center,Yes,Administrative/Service Delivery Site,Permanent,School,Kings County,NY
Sea Mar CHC - Vancouver Fourth Plain,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Clark County,WA
"Community Treatment, Inc - Hillsboro",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Jefferson County,MO
New Providence Primary Care Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,New York County,NY
PENOBSCOT COMMUNITY HLTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Penobscot County,ME
NORTHEAST COMMUNITY CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
LCHC @ Wilson Elementary,Yes,Service Delivery Site,Seasonal,School,Sheboygan County,WI
Altura Centers for Health West Tulare,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Tulare County,CA
BURNEY JUNIOR/SENIOR SBHC,Yes,Service Delivery Site,Seasonal,School,Shasta County,CA
CareConnect Family Dentistry,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sumter County,GA
John Ehret School Based Health Center Mental Health Services,Yes,Service Delivery Site,Seasonal,School,Jefferson Parish,LA
Lasante Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kings County,NY
FAMILY HEALTH CENTER OF PORT EWEN,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Ulster County,NY
Women's Lunch Place,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Suffolk County,MA
Jessamine Early Learning Village,Yes,Service Delivery Site,Seasonal,School,Jessamine County,KY
The Sharing Community,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Westchester County,NY
Community HealthNet OSC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lake County,IN
FHCSD Mobile Medical Unit II,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,San Diego County,CA
LCHC at Habilitative Systems,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL
CLINICA SIERRA VISTA - Orange and Butler Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fresno County,CA
OPC Shady Side V1,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Anne Arundel County,MD
"Hui No K Ola Pono, Inc Hana",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Maui County,HI
IPS School 88 - Anna Brochhausen,Yes,Service Delivery Site,Permanent,School,Marion County,IN
AxessPointe Pharmacy – Broadway,No,Administrative,Permanent,All Other Clinic Types,Summit County,OH
Marjorie Stoneman Douglas Elementary School,Yes,Service Delivery Site,Permanent,School,Miami-Dade County,FL
Jane Pauley Community Health Center at Ebbertt,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Madison County,IN
North Hudson Community Action Corporation Health Center @ Englewood,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bergen County,NJ
